Sequence,Ward,Kmeans,Kmeans vectorized,Spectral NN,Spectral SM,Spectral JW,MCL,Score Ward,Score Kmeans,Score Kmeans vectorized,Score Spectral NN,Score Spectral SM,Score Spectral JW,Score MCL
DS-04-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-04-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-05-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-05-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-05-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.916,1
DS-05-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-05-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-05-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-05-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.93,1,1,1
DS-05-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-05-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.932,1,1
DS-05-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-06-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-06-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-06-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.916,1
DS-06-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-06-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-06-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-06-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-06-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-06-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-06-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-07-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-07-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-07-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-07-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-07-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-07-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-07-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-07-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-07-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.932,1,1
DS-07-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.571,1,1,1,1
DS-08-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-08-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-08-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.908,1,1,0.984,1
DS-08-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-08-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-08-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-08-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.91,0.97,1,1,1
DS-08-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-08-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-08-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.571,1,1,1,1
DS-09-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-09-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-09-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-09-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-09-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-09-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-09-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.93,1,1,1
DS-09-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-09-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.932,1,1
DS-09-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.571,1,1,1,1
DS-10-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-10-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-10-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-10-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-10-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-10-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-10-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.93,1,1,1
DS-10-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-10-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-10-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.571,1,1,1,1
DS-11-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-11-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-11-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-11-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-11-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-11-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-11-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.89,0.97,1,1,1
DS-11-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-11-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.932,1,1
DS-11-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-12-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-12-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-12-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-12-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-12-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-12-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-12-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.93,1,1,1
DS-12-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-12-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.932,1,1
DS-12-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-13-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-13-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-13-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-13-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-13-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-13-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.902,1,1
DS-13-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-13-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-13-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-13-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.571,1,1,1,1
DS-14-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-14-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-14-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.916,1
DS-14-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-14-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-14-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-14-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-14-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-14-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-14-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-15-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-15-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.904,1,1,1
DS-15-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.908,1,1,0.984,1
DS-15-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-15-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-15-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-15-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.93,1,1,1
DS-15-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-15-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.932,1,1
DS-15-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-16-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-16-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-16-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-16-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-16-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-16-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-16-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-16-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-16-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-16-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-17-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-17-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-17-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-17-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-17-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-17-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-17-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-17-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-17-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-17-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.571,1,1,1,1
DS-18-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-18-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-18-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-18-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-18-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-18-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-18-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-18-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-18-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-18-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-19-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-19-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-19-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-19-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-19-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-19-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-19-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-19-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-19-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.932,1,1
DS-19-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.571,1,1,1,1
DS-20-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-20-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-20-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-20-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-20-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-20-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-20-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-20-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-20-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-20-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-21-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-21-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-21-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.916,1
DS-21-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-21-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-21-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-21-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.89,0.97,1,1,1
DS-21-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-21-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.932,1,1
DS-21-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.571,1,1,1,1
DS-22-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-22-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-22-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-22-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-22-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-22-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-22-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-22-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-22-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-22-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-23-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-23-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-23-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-23-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-23-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-23-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-23-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-23-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-23-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-23-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.571,1,1,1,1
DS-24-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-24-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-24-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-24-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-24-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-24-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-24-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-24-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-24-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-24-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.571,1,1,1,1
DS-25-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-25-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-25-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-25-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-25-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-25-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-25-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-25-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-25-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-25-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-26-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-26-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-26-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-26-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-26-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-26-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-26-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-26-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-26-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-26-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.571,1,1,1,1
DS-27-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-27-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-27-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-27-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-27-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-27-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-27-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-27-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-27-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.932,1,1
DS-27-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-28-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-28-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-28-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.916,1
DS-28-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-28-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-28-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-28-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-28-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-28-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-28-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-29-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
